assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,18,0,0,0,41320,0,0,-2,2,29.6,0,2,0.0,0.0,0,Charlie,0.0,2,0,5.2,60,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,43,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,None,i,3,91,0.0,3,3158,3,16346,33,0.0,0.7,Daniels,0
0,2,102,100,100,1,223911,0,0,-2,2,4.2,1,2,1.8,1.3,6,Chris,1.8,11,1,28.7,61,False,162.4,541,,2019-10-04T11:30:13.479244Z,43,0,0,0,223911.jpg,3.1,0,0,Mepham,0.8,False,None,a,3,91,120.0,22,85631,498,101633,159,0.4,5.1,Mepham,0
0,1,57,100,100,1,15149,0,0,-1,1,23.6,0,2,1.2,0.7,7,Simon,1.2,6,0,14.9,62,False,68.8,278,,2019-11-23T17:00:22.119134Z,44,0,0,0,15149.jpg,1.3,1,0,Francis,0.0,False,None,a,3,91,56.0,9,1605,324,1254,27,0.3,2.0,Francis,0
1,3,163,0,0,3,54469,0,0,-2,2,74.5,1,2,0.0,0.0,0,Adam,0.6,12,0,27.6,63,False,128.4,837,Ankle injury - Expected back 01 Feb,2019-11-30T15:00:18.860871Z,43,0,0,0,54469.jpg,3.2,0,0,Smith,0.6,False,None,i,3,91,73.0,32,58843,9,115769,1916,0.1,7.4,Adam Smith,2
0,0,0,0,0,0,235530,0,0,-1,1,0.0,0,2,0.0,0.0,0,Lloyd,0.0,0,0,0.0,64,False,0.0,0,Thigh injury - Unknown return date,2019-11-11T23:30:19.870065Z,44,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,None,i,3,91,0.0,0,4176,24,7578,104,0.0,0.0,Kelly,0
2,5,253,None,None,5,171129,0,0,3,-3,340.6,1,2,3.2,2.7,6,Diego,3.2,16,0,71.4,65,False,321.2,1208,,None,43,0,0,0,171129.jpg,3.6,0,0,Rico,14.4,False,None,a,3,91,50.0,50,1048635,35031,433867,1788,0.7,11.6,Rico,4
0,0,9,None,None,0,222434,0,0,-1,1,0.0,0,2,0.0,-0.5,0,Jack,0.0,3,0,1.5,66,False,15.0,55,,None,39,0,0,0,222434.jpg,0.0,0,0,Simpson,6.9,False,None,a,3,91,0.0,0,240825,6728,304398,3125,0.0,0.0,Simpson,0
3,4,192,25,25,3,75115,-1,1,-6,6,217.6,1,4,0.4,0.3,0,Callum,1.6,24,5,81.6,67,False,233.4,1373,Hamstring injury - 25% chance of playing,2019-12-07T17:00:19.209039Z,74,0,0,0,75115.jpg,3.9,0,0,Wilson,5.1,False,None,d,3,91,369.0,62,737446,104,1562012,8850,0.2,8.3,Callum Wilson,3
3,6,164,75,75,3,78007,0,0,-4,4,226.0,1,4,0.3,-0.1,2,Joshua,0.4,15,3,76.7,68,False,249.2,1080,Knock - 75% chance of playing,2019-12-14T17:30:22.088522Z,61,0,0,0,78007.jpg,4.0,0,0,King,4.0,False,None,d,3,91,291.0,52,605173,786,1602467,2573,0.1,8.5,King,0
0,0,40,100,100,1,154566,0,0,-3,3,116.9,0,4,1.2,0.7,1,Dominic,1.2,13,0,48.1,69,False,54.4,766,,2019-11-24T12:00:21.142150Z,52,0,0,0,154566.jpg,1.5,0,0,Solanke,0.3,False,None,a,3,91,310.0,22,24712,169,43064,226,0.2,4.2,Solanke,1
